編號,菜品名稱,單位,價格
374,金貝貝瓜,斤,1
375,紅珊瑚菜,磅,1
376,羅文心,磅,1
377,雞骨草,斤,1
378,芬奴,斤,1
379,蒜片,斤,1
380,熱情果,個,1
381,羅文心,包,1
382,干松茸片,包,1
383,鼠尾草,扎,1
384,蔥白,斤,1
385,沙律菜,磅,1
386,西大蒜,斤,1
387,紫洋蔥肉(切料),斤,1
388,萵荀(切料),斤,1
389,淮山(切料),斤,1
390,炸面根,斤,1
391,M 雜菜 (1.5KG/箱),箱,1
392,美國薯仔,斤,1
393,青欖,斤,1
394,芹菜頭,斤,1
395,百靈菇,斤,1
396,豆漿(細支),枝,1
396-A,豆漿(大支),枝,1
397,地老鼠,斤,1
398,魚腥草,斤,1
399,霸王花,斤,1
400,金針(乾黃花菜),斤,1
401,咸菜(斤),斤,1
402,咸菜(桶),桶,1
402a,酸菜,包,1
403,梅菜,斤,1
403A,甜梅菜,斤,1
404,榨菜,斤,1
405,大頭菜,斤,1
406,香茅,包,1
4061,香茅 (枝),枝,1
407,檸檬葉,兩,1
4071,檸檬葉絲,兩,1
407A,檸檬葉(泰國),兩,1
408,薄荷葉,兩,1
409,龍利葉,斤,1
410,牛膀,斤,1
410A,牛蒡肉,斤,1
411,淮山,斤,1
412,海底椰,包,1
4121,海底椰 (切料),斤,1
412A,海底椰(有皮),包,1
413,鮮百合,包,1
4131,鮮百合片,盒,1
414,鮮蓮子,包,1
415,白果肉,包,1
416,九層塔,扎,1
417,金不換,扎,1
418,茅根,斤,1
419,竹蔗,扎,1
420,粟子,斤,1
421,栗子肉,包,1
422,菜甫,斤,1
4221,菜甫粒,斤,1
423,大頭菜,斤,1
424,臭草,兩,1
425,椰子肉,斤,1
426,牛大力,斤,1
427,土茯苓,斤,1
4271,土伏岭肉,斤,1
428,客家咸菜,斤,1
428A,客家咸菜(桶),桶,1
429,夜香花,盒,1
430,鮮人參,盒,1
431,新鮮胡椒粒,斤,1
432,野葛菜,斤,1
433,五柳菜,斤,1
434,檸檬,個,1
434A,檸檬-新奇士,個,1
435,青檸檬,個,1
436,鮮荷葉,張,1
437,冬筍,斤,1
437a,冬荀肉,斤,1
438,萵筍,斤,1
439,泰國蘭花,包,1
4391,泰國蘭花 (枝),枝,1
440,蕉葉,包,1
441,珍珠菜,斤,1
442,啤梨,個,1
443,波子羅白,斤,1
444,泰國荷葉,張,1
445,青雪菜,斤,1
446,白茄,斤,1
447,紫蘇葉,兩,1
448,松草花,斤,1
449,紅菜頭,斤,1
449-A,紅菜頭肉,斤,1
450,橙,個,1
450A,橙 (新奇士),個,1
451,芒果,個,1
4511,芒果肉,個,1
452,士多啤梨,盒,1
453,梨,個,1
454,青蘋果,個,1
455,粽葉,張,1
456,蘋果,個,1
457,雪菜,斤,1
458,哈蜜瓜,個,1
459,火龍果,個,1
459A,火龍果(紅肉),個,1
460,番石榴,個,1
460A,番石榴 (中國),個,1
461,西瓜,個,1
462,奇異果,個,1
462a,金奇異果,個,1
463,蜜瓜,個,1
464,香蕉,磅,1
465,淮山肉,斤,1
466,白筍,斤,1
467,牛油果,個,1
468,椰王,個,1
469,椰子,個,1
470,年蓬,個,1
471,菠蘿,個,1
471A,菠蘿片,罐,1
472,萵筍肉,斤,1
473,百葉,斤,1
474,柑,個,1
475,西沙柚,個,1
476,印度椰子,個,1
477,沙糖桔,斤,1
478,芒果 (泰國),個,1
479,柚皮,斤,1
480,提子 (青),磅,1
480-A,提子,磅,1
480a,無核提子,磅,1
481,雪蓮果,斤,1
482,泰國金柚,個,1
483,百香果,個,1
484,車厘子,磅,1
485,龍珠果,盒,1
486,紅桑子,盒,1
487,風水梨,個,1
488,西柚,個,1
489,榴槤,磅,1
489A,榴蓮肉,磅,1
490,鄒皮瓜,個,1
491,無花果,個,1
492,鳯眼果,磅,1
493,蘆薈,斤,1
494,柚子肉,斤,1
495,大桔,磅,1
496,香梨,個,1
497,黃金梨,個,1
498,牛奶蕉,磅,1
499,大蕉,磅,1
501,芋頭粒,斤,1
502,芋頭絲,斤,1
503,沙葛粒,斤,1
504,羅白絲,斤,1
505,甘筍絲,斤,1
506,洋蔥絲,斤,1
507,芋頭條,斤,1
508,馬蹄粒,斤,1
509,蓮藕絲,斤,1
510,蓮藕粒,斤,1
511,韓國年糕,包,1
512,糯米粉,包,1
513,空桶,個,1
514,蔥花,斤,1
515,珍珠米(25k),包,1
516,青瓜粒,斤,1
517,酸薑,樽,1
518,腐乳,樽,1
519,椰青,個,1
520,青瓜絲,斤,1
